pattern_id,description,regex,canonical_hint,preferred_label,date_start,date_end
century_2_bc,2nd century BC (EN + NL),\b(?:early\s+|late\s+)?(?:2nd|second)\s+centur(?:y|ies)\s+(?:BC|BCE)\b|\b(?:vroege?\s+|late\s+)?(?:2e|tweede)\s+eeuw\s+(?:v\.?\s*Chr\.?|voor\s+Chr\.?)\b,CENTURY_2_BC,2nd century BC,-200,-100
century_1_bc,1st century BC (EN + NL),\b(?:early\s+|late\s+)?(?:1st|first)\s+centur(?:y|ies)\s+(?:BC|BCE)\b|\b(?:vroege?\s+|late\s+)?(?:1e|1ste|eerste)\s+eeuw\s+(?:v\.?\s*Chr\.?|voor\s+Chr\.?)\b,CENTURY_1_BC,1st century BC,-100,0
century_1_ad,1st century AD (EN + NL),\b(?:early\s+|late\s+|mid-?)?(?:1st|first)\s+centur(?:y|ies)(?:\s+(?:AD|CE))?\b|\b(?:vroege?\s+|late\s+)?(?:1e|1ste|eerste)\s+eeuw(?:\s+(?:n\.?\s*Chr\.?|na\s+Chr\.?))?\b,CENTURY_1_AD,1st century AD,1,100
century_2_ad,2nd century AD (EN + NL),\b(?:early\s+|late\s+|mid-?)?(?:2nd|second)\s+centur(?:y|ies)(?:\s+(?:AD|CE))?\b|\b(?:vroege?\s+|late\s+)?(?:2e|tweede)\s+eeuw(?:\s+(?:n\.?\s*Chr\.?|na\s+Chr\.?))?\b,CENTURY_2_AD,2nd century AD,100,200
century_3_ad,3rd century AD (EN + NL),\b(?:early\s+|late\s+|mid-?)?(?:3rd|third)\s+centur(?:y|ies)(?:\s+(?:AD|CE))?\b|\b(?:vroege?\s+|late\s+)?(?:3e|derde)\s+eeuw(?:\s+(?:n\.?\s*Chr\.?|na\s+Chr\.?))?\b,CENTURY_3_AD,3rd century AD,200,300
century_4_ad,4th century AD (EN + NL),\b(?:early\s+|late\s+|mid-?)?(?:4th|fourth)\s+centur(?:y|ies)(?:\s+(?:AD|CE))?\b|\b(?:vroege?\s+|late\s+)?(?:4e|vierde)\s+eeuw(?:\s+(?:n\.?\s*Chr\.?|na\s+Chr\.?))?\b,CENTURY_4_AD,4th century AD,300,400
century_5_ad,5th century AD (EN + NL),\b(?:early\s+|late\s+|mid-?)?(?:5th|fifth)\s+centur(?:y|ies)(?:\s+(?:AD|CE))?\b|\b(?:vroege?\s+|late\s+)?(?:5e|vijfde)\s+eeuw(?:\s+(?:n\.?\s*Chr\.?|na\s+Chr\.?))?\b,CENTURY_5_AD,5th century AD,400,500
century_6_ad,6th century AD (EN + NL),\b(?:early\s+|late\s+|mid-?)?(?:6th|sixth)\s+centur(?:y|ies)(?:\s+(?:AD|CE))?\b|\b(?:vroege?\s+|late\s+)?(?:6e|zesde)\s+eeuw(?:\s+(?:n\.?\s*Chr\.?|na\s+Chr\.?))?\b,CENTURY_6_AD,6th century AD,500,600
century_7_ad,7th century AD (EN + NL),\b(?:early\s+|late\s+|mid-?)?(?:7th|seventh)\s+centur(?:y|ies)(?:\s+(?:AD|CE))?\b|\b(?:vroege?\s+|late\s+)?(?:7e|zevende)\s+eeuw(?:\s+(?:n\.?\s*Chr\.?|na\s+Chr\.?))?\b,CENTURY_7_AD,7th century AD,600,700
century_8_ad,8th century AD (EN + NL),\b(?:early\s+|late\s+|mid-?)?(?:8th|eighth)\s+centur(?:y|ies)(?:\s+(?:AD|CE))?\b|\b(?:vroege?\s+|late\s+)?(?:8e|achtste)\s+eeuw(?:\s+(?:n\.?\s*Chr\.?|na\s+Chr\.?))?\b,CENTURY_8_AD,8th century AD,700,800
century_9_ad,9th century AD (EN + NL),\b(?:early\s+|late\s+|mid-?)?(?:9th|ninth)\s+centur(?:y|ies)(?:\s+(?:AD|CE))?\b|\b(?:vroege?\s+|late\s+)?(?:9e|negende)\s+eeuw(?:\s+(?:n\.?\s*Chr\.?|na\s+Chr\.?))?\b,CENTURY_9_AD,9th century AD,800,900
century_10_ad,10th century AD (EN + NL),\b(?:early\s+|late\s+|mid-?)?(?:10th|tenth)\s+centur(?:y|ies)(?:\s+(?:AD|CE))?\b|\b(?:vroege?\s+|late\s+)?(?:10e|tiende)\s+eeuw(?:\s+(?:n\.?\s*Chr\.?|na\s+Chr\.?))?\b,CENTURY_10_AD,10th century AD,900,1000
century_11_ad,11th century AD (EN + NL),\b(?:early\s+|late\s+|mid-?)?(?:11th|eleventh)\s+centur(?:y|ies)(?:\s+(?:AD|CE))?\b|\b(?:vroege?\s+|late\s+)?(?:11e|elfde)\s+eeuw(?:\s+(?:n\.?\s*Chr\.?|na\s+Chr\.?))?\b,CENTURY_11_AD,11th century AD,1000,1100
century_12_ad,12th century AD (EN + NL),\b(?:early\s+|late\s+|mid-?)?(?:12th|twelfth)\s+centur(?:y|ies)(?:\s+(?:AD|CE))?\b|\b(?:vroege?\s+|late\s+)?(?:12e|twaalfde)\s+eeuw(?:\s+(?:n\.?\s*Chr\.?|na\s+Chr\.?))?\b,CENTURY_12_AD,12th century AD,1100,1200
century_13_ad,13th century AD (EN + NL),\b(?:early\s+|late\s+|mid-?)?(?:13th|thirteenth)\s+centur(?:y|ies)(?:\s+(?:AD|CE))?\b|\b(?:vroege?\s+|late\s+)?(?:13e|dertiende)\s+eeuw(?:\s+(?:n\.?\s*Chr\.?|na\s+Chr\.?))?\b,CENTURY_13_AD,13th century AD,1200,1300
century_14_ad,14th century AD (EN + NL),\b(?:early\s+|late\s+|mid-?)?(?:14th|fourteenth)\s+centur(?:y|ies)(?:\s+(?:AD|CE))?\b|\b(?:vroege?\s+|late\s+)?(?:14e|veertiende)\s+eeuw(?:\s+(?:n\.?\s*Chr\.?|na\s+Chr\.?))?\b,CENTURY_14_AD,14th century AD,1300,1400
century_15_ad,15th century AD (EN + NL),\b(?:early\s+|late\s+|mid-?)?(?:15th|fifteenth)\s+centur(?:y|ies)(?:\s+(?:AD|CE))?\b|\b(?:vroege?\s+|late\s+)?(?:15e|vijftiende)\s+eeuw(?:\s+(?:n\.?\s*Chr\.?|na\s+Chr\.?))?\b,CENTURY_15_AD,15th century AD,1400,1500
century_16_ad,16th century AD (EN + NL),\b(?:early\s+|late\s+|mid-?)?(?:16th|sixteenth)\s+centur(?:y|ies)(?:\s+(?:AD|CE))?\b|\b(?:vroege?\s+|late\s+)?(?:16e|zestiende)\s+eeuw(?:\s+(?:n\.?\s*Chr\.?|na\s+Chr\.?))?\b,CENTURY_16_AD,16th century AD,1500,1600
century_17_ad,17th century AD (EN + NL),\b(?:early\s+|late\s+|mid-?)?(?:17th|seventeenth)\s+centur(?:y|ies)(?:\s+(?:AD|CE))?\b|\b(?:vroege?\s+|late\s+)?(?:17e|zeventiende)\s+eeuw(?:\s+(?:n\.?\s*Chr\.?|na\s+Chr\.?))?\b,CENTURY_17_AD,17th century AD,1600,1700
century_18_ad,18th century AD (EN + NL),\b(?:early\s+|late\s+|mid-?)?(?:18th|eighteenth)\s+centur(?:y|ies)(?:\s+(?:AD|CE))?\b|\b(?:vroege?\s+|late\s+)?(?:18e|achttiende)\s+eeuw(?:\s+(?:n\.?\s*Chr\.?|na\s+Chr\.?))?\b,CENTURY_18_AD,18th century AD,1700,1800
century_19_ad,19th century AD (EN + NL),\b(?:early\s+|late\s+|mid-?)?(?:19th|nineteenth)\s+centur(?:y|ies)(?:\s+(?:AD|CE))?\b|\b(?:vroege?\s+|late\s+)?(?:19e|negentiende)\s+eeuw(?:\s+(?:n\.?\s*Chr\.?|na\s+Chr\.?))?\b,CENTURY_19_AD,19th century AD,1800,1900
century_20_ad,20th century AD (EN + NL),\b(?:early\s+|late\s+|mid-?)?(?:20th|twentieth)\s+centur(?:y|ies)(?:\s+(?:AD|CE))?\b|\b(?:vroege?\s+|late\s+)?(?:20e|twintigste)\s+eeuw(?:\s+(?:n\.?\s*Chr\.?|na\s+Chr\.?))?\b,CENTURY_20_AD,20th century AD,1900,2000
century_21_ad,21st century AD (EN + NL),\b(?:early\s+|late\s+|mid-?)?(?:21st|twenty-first)\s+centur(?:y|ies)(?:\s+(?:AD|CE))?\b|\b(?:vroege?\s+|late\s+)?(?:21e|eenentwintigste)\s+eeuw(?:\s+(?:n\.?\s*Chr\.?|na\s+Chr\.?))?\b,CENTURY_21_AD,21st century AD,2000,2100
