report_id,site_name,page,pottery,typology,term_found,term_found_normalized_en,quantity,start_date,end_date,date_method,context_label,pot_name_certainty_level,pot_name_llm_reasoning,pot_presence_certainty_level,pot_presence_llm_reasoning,dates_certainty_level,date_llm_reasoning,overall_certainty_level,original_text
old_rep_1,Ambij,1,Pottery,,aardewerk,Pottery,,-12,450,chron_vocab,uncertain,6,name from ware match,3,classified uncertain,8,named dated period/ware,6,"Bij het afgraven van grond in het groot
weiland, dat ten Zuiden ligt van de straat, die naar
bet gehuchtje „Op den Heukel"" voert, werden dezen
winter talrijke overblijfselen van dakpannen met op-staande randen en van Romeinsch aardewerk gevon-den."
old_rep_1,Ambij,1,Terra sigillata,,terra sigillata,Terra sigillata,,1,300,text_century,uncertain,6,name from ware match,3,classified uncertain,9,century stated in the passage,6,"Eenige kenmerkende scherven, waaronder een drietal
van terra sigillata, zijn overgedaan aan het Museum
van het Geschied- en Oudheidkundig Genootschap te"
