abr_ware_code,ware_label_nl,ware_uri,en_aliases,needs_review
,Marne (-achtig)-aardewerk,https://data.cultureelerfgoed.nl/term/id/abr/bbc699a8-bc81-4d3f-95e5-939f4d472c10,,
,Mayener waar,https://data.cultureelerfgoed.nl/term/id/abr/bdf8600f-00a4-4e90-9ae2-d1f1bf14ff0d,,
,Mediterraan roodbakkend aardewerk,https://data.cultureelerfgoed.nl/term/id/abr/03f47fd8-bd14-4da7-92e0-34923fa38212,,
,Mexicaans tinglazuuraardewerk,https://data.cultureelerfgoed.nl/term/id/abr/7269b505-e4d0-4c46-842d-e0d29114bc61,,
,Michelsberg-aardewerk,https://data.cultureelerfgoed.nl/term/id/abr/481eae4c-94fe-4c1d-b0d0-97538e119c4a,,
,Noord-Holland aardewerk,https://data.cultureelerfgoed.nl/term/id/abr/df41d20a-2ad9-4bb7-8350-300de6715f60,,
,Noord-Menapisch handgevormd aardewerk,https://data.cultureelerfgoed.nl/term/id/abr/f67499fe-c757-468e-9945-052e407ce75b,,
,Noord-Nederlands aardewerk,https://data.cultureelerfgoed.nl/term/id/abr/400fc6e6-76e6-4da4-8c22-8a2280418b44,,
,Nordseeküstenahe-stijlgroep,https://data.cultureelerfgoed.nl/term/id/abr/da4152e6-4631-4dd5-85c0-17fba436ab7e,,
,Onbekend aardewerk,https://data.cultureelerfgoed.nl/term/id/abr/5beb1983-2006-44d4-a9a2-682782b1ac48,,
,Oostergo-aardewerk,https://data.cultureelerfgoed.nl/term/id/abr/63c95420-dbc7-40c2-84d6-1c013037555f,,
,Pompejaans rood aardewerk,https://data.cultureelerfgoed.nl/term/id/abr/24bf6619-d3c5-46da-a167-ecdf94aabc35,,
,"Pompejaans rood aardewerk, Beneden-Moezel",https://data.cultureelerfgoed.nl/term/id/abr/42e68708-7c9f-4f59-be5c-ee61392be0b8,,
,"Pompejaans rood aardewerk, Campanië",https://data.cultureelerfgoed.nl/term/id/abr/63bb2b6b-313d-42ab-9fe6-d536019a15bc,,
,"Pompejaans rood aardewerk, Noord-Gallië",https://data.cultureelerfgoed.nl/term/id/abr/ff2fb865-d564-4d90-8039-a789a4a8c175,,
,Portugees tinglazuuraardewerk,https://data.cultureelerfgoed.nl/term/id/abr/654d38fc-88ff-478a-a246-90955efadf81,,
,Potbeker,https://data.cultureelerfgoed.nl/term/id/abr/fc90db73-cb81-4a98-8201-21bb5142ffe1,,
,Pre-Drouwen-aardewerk,https://data.cultureelerfgoed.nl/term/id/abr/6fb17a63-0e14-4ece-be87-7e2adf07895c,,
,Rijn-Weser-Germaans aardewerk,https://data.cultureelerfgoed.nl/term/id/abr/2c7843f4-6661-4815-8e0d-917baa6fd240,,
,Rotterdamstijlgroep,https://data.cultureelerfgoed.nl/term/id/abr/e5d3eb6c-d555-4cd7-9809-6a2f727b47ed,,
,Rössen-aardewerk,https://data.cultureelerfgoed.nl/term/id/abr/73968d0a-5251-4904-b6ee-729f361cc76b,,
,Santpoortstijlgroep,https://data.cultureelerfgoed.nl/term/id/abr/13b45e09-a9fa-4d3d-8978-7c1afcc3d8f0,,
,Spaans tinglazuuraardewerk,https://data.cultureelerfgoed.nl/term/id/abr/e0f13df3-9c0e-4dc2-8a42-a5f6474fa45b,,
,Standvoetbeker-aardewerk,https://data.cultureelerfgoed.nl/term/id/abr/a96c9deb-55d7-492c-893a-f962033148a1,,
,Swifterbant-aardewerk,https://data.cultureelerfgoed.nl/term/id/abr/0fe7fc3d-ee05-404f-90ad-5d0924c7f031,,
,Trechterbekeraardewerk,https://data.cultureelerfgoed.nl/term/id/abr/e4e67115-b2de-4b8a-a3e0-000d99fe5e71,,
,Ubbergse waar,https://data.cultureelerfgoed.nl/term/id/abr/d31a1afc-e653-45ca-a847-dd60c8a687da,,
,Veluwse klokbeker,https://data.cultureelerfgoed.nl/term/id/abr/62b0343c-5b9e-4424-a47d-422062f7f03c,,
,Vlaardingen-Steingroep,https://data.cultureelerfgoed.nl/term/id/abr/8cf14f72-298e-4c02-aa47-103a79783dd3,,
,Walberberg aardewerk,https://data.cultureelerfgoed.nl/term/id/abr/1cd83c1e-ba0d-4924-af28-e654ee904e0a,,
,Werra aardewerk,https://data.cultureelerfgoed.nl/term/id/abr/da424f12-aa83-4549-b83e-6faf9ac15bce,,
,Weser aardewerk,https://data.cultureelerfgoed.nl/term/id/abr/cd883dc5-7505-45ee-b7f9-8121f336966c,,
,Westergo-aardewerk,https://data.cultureelerfgoed.nl/term/id/abr/89b1bc93-0871-4202-a908-2de2bdb19df0,,
,Wikkeldraad-aardewerk,https://data.cultureelerfgoed.nl/term/id/abr/5414b981-5ddd-4dd4-bd48-0705c9308ad0,,
,Zuid-Holland-aardewerk,https://data.cultureelerfgoed.nl/term/id/abr/b17adbb8-80d9-446c-8adc-410ee132b909,,
,Zuid-Limburg handgevormd aardewerk,https://data.cultureelerfgoed.nl/term/id/abr/2f85a3d3-650e-45e7-8e53-b11aae1441de,,
,Zuid-Nederlands aardewerk,https://data.cultureelerfgoed.nl/term/id/abr/f88bc35d-27dc-447e-8bf5-0f1d34da38f6,,
,amfoor aardewerk,https://data.cultureelerfgoed.nl/term/id/abr/e1367a42-7661-43da-827b-ec8c8c305e8a,,
